st,num_wins,num_votes,pct
AZ,1672143,3333829,0.5016
GA,2473633,4935487,0.5012
MI,2804040,5453892,0.5141
NV,703486,1373376,0.5122
NC,2684292,5443067,0.4932
PA,3458229,6835903,0.5059
WI,1630866,3241050,0.5032
