n,moe,t,h
950,3.0,49,49
1000,3.0,49,49
2267,2.0,46,49
2463,2.0,50,48
8919,1.0,47,49
3718,1.5,49,51
2397,2.0,48,46
2161,2.6,49,50
2516,2.2,48,48
1704,3.1,47,47
1000,3.1,49,50
870,3.0,50,48
